#id,tipo,ipOrigem,portaOrigem,hostnameOrigem,ipDestino,portaDestino,malware,protocolo,sistemaOperacional,passo1,passo2,passo3,passo4,passo5,passo6,passo7,passo8,passo9,passo10,passo11,passo12,passo13,passo14
1,1,3356633862,50663,24,1760825084,80,4,0,1,16,17,11,12,23,0,0,0,0,0,0,0,0,0
2,1,3356631527,60072,0,1760825084,0,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
3,1,3356631530,55605,28,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
4,2,3364100143,58072,0,0,0,0,1,0,16,17,1,11,12,42,21,22,23,0,0,0,0,0
5,1,3356633862,58458,0,89081805,80,13,0,4,16,17,11,12,23,16,0,0,0,0,0,0,0,0
6,2,3364100350,41848,0,0,0,0,1,0,16,17,11,25,12,23,0,0,0,0,0,0,0,0
7,3,3364104054,0,0,0,0,0,0,0,16,17,11,25,43,44,31,23,0,0,0,0,0,0
8,2,3364146402,58040,0,0,0,0,1,0,16,17,1,15,33,31,21,22,23,0,0,0,0,0
9,2,3364146238,52871,0,0,0,0,1,0,16,17,1,15,33,31,21,22,23,0,0,0,0,0
10,2,3364100143,51455,0,0,0,0,1,0,16,17,1,11,12,42,21,22,23,0,0,0,0,0
11,1,3356631531,0,10,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
12,1,3356631618,49156,21,1745954185,80,11,4,1,16,17,1,15,25,5,2,3,9,31,21,22,23,0
13,1,3356631618,50606,21,1745955209,80,11,4,1,16,17,1,15,25,5,2,3,9,31,21,22,23,0
14,2,3364100350,1207,0,0,0,0,1,0,16,17,1,15,33,31,21,22,23,0,0,0,0,0
15,1,3356631530,40711,0,89081805,80,13,0,0,16,17,28,29,8,6,9,2,3,31,38,23,0,0
16,2,3356631602,1035,0,0,0,0,1,0,16,17,1,15,33,31,21,22,23,0,0,0,0,0
17,1,3356631530,54919,0,89081825,80,13,0,0,16,17,28,29,8,6,9,2,3,31,38,23,0,0
18,1,3356631527,34934,26,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
19,1,3356631530,42930,0,2997013474,80,13,0,0,16,17,28,29,8,6,9,2,3,31,38,23,0,0
20,1,3356631194,41838,22,3496221435,8080,5,0,1,16,17,1,15,8,6,9,2,3,31,21,22,23,0
21,1,3356634534,3938,31,3496221435,80,8,0,1,16,17,1,15,8,6,9,2,3,31,21,22,23,0
22,1,3356631530,38561,28,3496221435,80,8,0,1,16,17,28,29,25,5,2,3,9,31,32,38,23,0
23,1,3356631209,6230,0,0,0,12,0,0,26,16,17,1,15,25,5,2,3,9,31,21,22,23
24,4,3356631478,0,0,0,0,0,0,0,16,17,40,15,25,5,2,3,9,37,41,31,23,0
25,1,3364100143,60838,14,1760825084,80,4,0,1,16,17,1,11,12,42,21,22,23,0,0,0,0,0
26,1,3364100143,36886,0,644257307,0,4,0,1,1,11,12,21,22,23,0,0,0,0,0,0,0,0
27,1,3364100143,43546,14,1760825084,80,4,0,1,16,17,1,11,12,42,21,22,23,0,0,0,0,0
